name,source,source_epg_id,score,method,programmes
GO: 50 CENT ACTION CHANNEL,prime,PRIME: 50 CENT ACTION RAW,96.0,relaxed,10
GO: A&E,usent,US: A&E HD,98.0,exact,148
GO: ABC LOCALISH,roku,8b77c262c90652658b21fdb9ee292ab7,98.0,exact,142
GO: ABC NEWS LIVE,us2,ABC.News.Live.us2,98.0,exact,147
GO: ABC-WABC,locals,WABC-DT.us_locals1,100.0,callsign,85
GO: ACC DIGITAL NETWORK,us2,ACC.Digital.Network.us2,98.0,exact,67
GO: ACC NETWORK,us2,ACC.Network.us2,98.0,exact,75
GO: ACCUWEATHER,us2,AccuWeather.HD.us2,98.0,exact,23
GO: ALIEN NATION BY DUST,tubi,TUBI:ALIEN NATION BY DUST,98.0,exact,41
GO: ALWAYS FUNNY,tubi,TUBI:ALWAYS FUNNY,98.0,exact,84
GO: AMC,us2,AMC.HD.us2,98.0,exact,64
GO: AMERICA'S GOT TALENT,samsung,US3500006VF,98.0,exact,3
GO: AMERICA'S TEST KITCHEN,tubi,TUBI:AMERICA S TEST KITCHEN,98.0,exact,89
GO: AMERICAN CRIMES,us2,American.Crimes.us2,98.0,exact,115
GO: AMERICAN HEROES,us2,American.Heroes.Channel.HD.us2,96.0,relaxed,96
GO: ANGER MANAGEMENT,tubi,TUBI:ANGER MANAGEMENT,98.0,exact,104
GO: ANIMAL PLANET,us2,Animal.Planet.HD.(Pacific).us2,98.0,exact,93
GO: ARE WE THERE YET,tubi,TUBI:ARE WE THERE YET,98.0,exact,109
GO: ASPIRE,us2,ASPiRE.HD.us2,98.0,exact,142
GO: AT HOME WITH FAMILY HANDYMAN,prime,PRIME: AT HOME WITH FAMILY HANDYMAN RAW,98.0,exact,126
GO: AX MEN,tubi,TUBI:AX MEN,98.0,exact,52
GO: AXS TV,us2,AXS.TV.us2,98.0,exact,136
GO: BBC AMERICA,us2,BBC.America.HD.us2,98.0,exact,59
GO: BBC NEWS,us2,BBC.News.(North.America).HD.us2,98.0,exact,225
GO: BEACH DAY,prime,PRIME: BEACH DAY RAW,98.0,exact,38
GO: BEIN SPORTS XTRA,tubi,TUBI:BEIN SPORTS XTRA,98.0,exact,45
GO: BET,us2,BET.HD.(Pacific).us2,98.0,exact,145
GO: BET HER,us2,BET.Her.us2,98.0,exact,109
GO: BIG TEN,us2,Big.Ten.Network.HD.us2,100.0,alias-id,107
GO: BIG TEN NETWORK OVERFLOW 2,us2,Big.Ten.Network.HD.us2,100.0,alias-id,107
GO: BIG TEN NETWORK OVERFLOW 3,us2,Big.Ten.Network.HD.us2,100.0,alias-id,107
GO: BIG TEN NETWORK OVERFLOW 4,us2,Big.Ten.Network.HD.us2,100.0,alias-id,107
GO: BIZARRE FOODS WITH ANDREW ZIMMERN,prime,PRIME: BIZARRE FOODS WITH ANDREW ZIMMERN RAW,98.0,exact,129
GO: BLOOMBERG TV,prime,PRIME: BLOOMBERG TV+ RAW,98.0,exact,308
GO: BOB ROSS CHANNEL,tubi,TUBI:THE BOB ROSS CHANNEL,96.0,relaxed,76
GO: BOOMERANG,us2,Boomerang.us2,98.0,exact,298
GO: BRAVO,us2,Bravo.HD.us2,98.0,exact,89
GO: BRAVO VAULT,prime,PRIME: BRAVO VAULT RAW,98.0,exact,20
