name,source_name,source_id,score,method,programmes
US: BOUNCE TV ᴿᴬᵂ,Bounce TV,d4a0208c-9064-11f1-85a1-076f2604d3c6,100,alias-exact,25
US: CONFESS BY NOSEY ᴿᴬᵂ,Confess by Nosey,becc090a-9060-11f1-9ce0-2ba0569d1c08,100,alias-exact,32
US: COURT TV ᴿᴬᵂ,Court TV,b59e6ee8-8f3b-11f1-a9bc-53ba81393a6a,100,alias-exact,27
US: COURT TV: LEGENDARY TRIALS ᴿᴬᵂ,Court TV: Legendary Trials,1d4d9cac-8f3d-11f1-8164-7b278f7657c1,100,alias-exact,25
US: DATELINE 24/7 ᴿᴬᵂ,Dateline 24/7,3f4652ba-65cf-11eb-8ea4-e7e8b4de3ed4,100,alias-exact,22
US: FAMILY FEUD STEVE HARVEY ᴿᴬᵂ,Family Feud Steve Harvey,bcea077e-9054-11f1-9cc1-7ff0d2c2de46,100,alias-exact,30
US: GAME SHOW CENTRAL ᴿᴬᵂ,Game Show Central,6eb5c1ec-8ffa-11f1-8c44-5b896ec264b3,100,alias-exact,53
US: ION ᴿᴬᵂ,ION,d6faeb5a-8f38-11f1-8baa-47096744f408,100,alias-exact,27
US: ION MYSTERY ᴿᴬᵂ,ION Mystery,d946ed4a-8f39-11f1-bfd0-cb2e0090cc1d,100,alias-exact,25
US: LAW & CRIME NETWORK ᴿᴬᵂ,Law & Crime Network,b408818a-0a01-11ee-945c-e76043e4db0f,99,alias-relaxed,37
US: LOVE NATURE ᴿᴬᵂ,Love Nature,908ea9e8-9061-11f1-9cfb-d353ee7cc2fc,100,alias-exact,28
US: MOVIESPHERE BY LIONSGATE ᴿᴬᵂ,MovieSphere by Lionsgate,cc1e5cae-903b-11f1-915b-6fc2ba200655,100,alias-exact,13
US: NBC BOSTON NEWS ᴿᴬᵂ,NBC Boston News,fe15723c-5cc5-11ec-bbf7-536ae314b3e1,100,alias-exact,40
US: NBC CHICAGO NEWS ᴿᴬᵂ,NBC Chicago News,e5a9d34e-7658-11ec-9ed4-83d9a8a6d60b,100,alias-exact,44
US: NBC LOS ANGELES NEWS ᴿᴬᵂ,NBC Los Angeles News,662b21b0-765b-11ec-a3d4-4b11269bfff9,100,alias-exact,50
US: NBC LX HOME ᴿᴬᵂ,NBC LX Home,11f90276-b54a-11ee-bc8b-a356f80d736c,100,alias-exact,57
US: NBC NEW YORK NEWS ᴿᴬᵂ,NBC New York News,f6dffcaa-7659-11ec-a377-2fda3733e945,100,alias-exact,43
US: NBC NEWS NOW ᴿᴬᵂ,NBC NEWS NOW,f9fc946a-6ce8-11ea-b336-af9c44b058a8,100,alias-exact,26
US: NBC PHILADELPHIA NEWS ᴿᴬᵂ,NBC Philadelphia News,11d3dd62-7658-11ec-96dc-93328aa3ce7c,100,alias-exact,33
US: NBC SOUTH FLORIDA NEWS ᴿᴬᵂ,NBC South Florida News,90bbcf6c-7659-11ec-a31b-a33244d1ccaa,100,alias-exact,57
US: NBC SPORTS NOW ᴿᴬᵂ,NBC Sports NOW,3cca1b06-e35d-11ea-bfa1-f308b6d811b3,100,alias-exact,16
US: NEWS 12 NEW YORK ᴿᴬᵂ,News 12 New York,61effffe-9068-11f1-8620-f727dcd33e7e,100,alias-exact,49
US: NFL CHANNEL ᴿᴬᵂ,NFL Channel,fa175976-4fe4-11ed-b5f3-1ba17a62cf0f,100,alias-exact,21
US: NOSEY ᴿᴬᵂ,Nosey,fa8d7542-2177-11ee-b400-430217b3f3a3,100,alias-exact,34
US: NOTICIAS TELEMUNDO AHORA ᴿᴬᵂ,Noticias Telemundo Ahora,b751854c-901f-11f1-a675-d7e47e222dde,100,alias-exact,41
US: PREMIER LEAGUE TV ᴿᴬᵂ,Premier League TV,dd84814e-9040-11f1-aed2-b79902579f53,100,alias-exact,32
US: REELZ ᴿᴬᵂ,REELZ,67156b38-b2f2-11ed-b60c-e3c61bfac506,100,alias-exact,33
US: SCRIPPS NEWS ᴿᴬᵂ,Scripps News,05a3b8f8-9040-11f1-aeb7-b77cebeff814,100,alias-exact,26
US: SKY NEWS ᴿᴬᵂ,Sky News,411948f8-74db-11ea-b1c0-a3203daea85b,100,alias-exact,42
US: SNL VAULT ᴿᴬᵂ,SNL Vault,cf5825dc-3c62-11ea-a886-5be2a3f2e270,100,alias-exact,27
US: TEAM USA TV ᴿᴬᵂ,TEAM USA TV,dc85e3c2-9041-11f1-aeed-fb5607a0b61c,100,alias-exact,16
US: TELEMUNDO AL DIA ᴿᴬᵂ,Telemundo Al Dia,45fae536-a53d-11f1-abaa-c74a9ed5c3d7,100,alias-exact,39
US: TELEMUNDO DEPORTES AHORA ᴿᴬᵂ,Telemundo Deportes Ahora,64030e06-9038-11f1-8c4c-93a2f37d379a,100,alias-exact,26
US: THAT 70S SHOW ᴿᴬᵂ,That 70s Show,b4b52626-0a04-11ee-9d89-a3f354754121,100,alias-exact,55
US: TODAY ALL DAY ᴿᴬᵂ,TODAY All Day,8fcfd0de-b7d9-11ea-ab39-eb03461f28b3,100,alias-exact,38
US: TOP GEAR ᴿᴬᵂ,Top Gear,d068eb20-92bf-11ee-bf6f-4771fed8f555,100,alias-exact,24
US: WNBC ᴿᴬᵂ,NBC New York News,f6dffcaa-7659-11ec-a377-2fda3733e945,100,alias-exact,43
