name,base_name,stream_id,source,epg_id,score,method
PRIME: 365BLK RAW,365BLK,,us2,365BLK.us2,100.0,alias
PRIME: 48 HOURS RAW,48 HOURS,,pass3_pluto,6176f39e709f160007ec61c3,100.0,pass3-exact
PRIME: 4UV RAW,4UV,,pass3_samsung,USBD70000412,100.0,pass3-exact
PRIME: 50 CENT ACTION RAW,50 CENT ACTION,,pass3_pluto,68487fb3f212bedacf5a53e3,100.0,pass3-exact
PRIME: 5STARMAX EAST RAW,5STARMAX EAST,,us2,5.StarMAX.HD.East.us2,100.0,alias
PRIME: 60 MINUTES RAW,60 MINUTES,,pass3_pluto,66b646f9cd0d3100086af83c,100.0,pass3-exact
PRIME: 6ABC PHILADELPHIA RAW,6ABC PHILADELPHIA,,locals,WPVI-DT.us_locals1,100.0,alias
PRIME: 80S SITCOM RAW,80S SITCOM,,us2,80s.Sitcoms.us2,100.0,alias
PRIME: 90S SITCOM RAW,90S SITCOM,,us2,90s.Sitcoms.us2,95.2,fuzzy
PRIME: A&E CRIME 360 RAW,A&E CRIME 360,,pass3_pluto,6000a5a9e767980007b497ca,100.0,pass3-exact
PRIME: ABC BALTIMORE NEWS (WMAR) RAW,ABC BALTIMORE NEWS (WMAR),,locals,WMAR-DT.us_locals1,99.0,callsign
PRIME: ABC BOISE NEWS (KIVI) RAW,ABC BOISE NEWS (KIVI),,locals,KIVI-DT.us_locals1,99.0,callsign
PRIME: ABC BUFFALO NEWS (WKBW) RAW,ABC BUFFALO NEWS (WKBW),,locals,WKBW-DT.us_locals1,99.0,callsign
PRIME: ABC CINCINNATI (WCPO) RAW,ABC CINCINNATI (WCPO),,locals,WCPO-DT.us_locals1,99.0,callsign
PRIME: ABC CLEVELAND (WEWS) RAW,ABC CLEVELAND (WEWS),,locals,WEWS-DT.us_locals1,99.0,callsign
PRIME: ABC COLUMBUS NEWS (WSYX) RAW,ABC COLUMBUS NEWS (WSYX),,locals,WSYX-DT.us_locals1,99.0,callsign
PRIME: ABC DAYTON NEWS (WKEF) RAW,ABC DAYTON NEWS (WKEF),,locals,WKEF-DT.us_locals1,99.0,callsign
PRIME: ABC DENVER NEWS (KMGH) RAW,ABC DENVER NEWS (KMGH),,locals,KMGH-DT.us_locals1,99.0,callsign
PRIME: ABC DETROIT NEWS (WXYZ) RAW,ABC DETROIT NEWS (WXYZ),,locals,WXYZ-DT.us_locals1,99.0,callsign
PRIME: ABC GREENVILLE / SPARTANBURG / ASHVILLE (WLOS) RAW,ABC GREENVILLE / SPARTANBURG / ASHVILLE (WLOS),,locals,WLOS-DT.us_locals1,99.0,callsign
PRIME: ABC INDIANAPOLIS (WRTV) RAW,ABC INDIANAPOLIS (WRTV),,locals,WRTV-DT.us_locals1,99.0,callsign
PRIME: ABC LAS VEGAS (KTNV) RAW,ABC LAS VEGAS (KTNV),,locals,KTNV-DT.us_locals1,99.0,callsign
PRIME: ABC MEMPHIS NEWS (WATN) RAW,ABC MEMPHIS NEWS (WATN),,locals,WATN-DT.us_locals1,99.0,callsign
