name,base_name,stream_id,best_score
PRIME: 20/20 RAW,20/20,,85.5
PRIME: 24/7 LAUGHS RAW,24/7 LAUGHS,,85.5
PRIME: 48 HOURS RAW,48 HOURS,,90.0
PRIME: 4UV RAW,4UV,,90.0
PRIME: 50 CENT ACTION RAW,50 CENT ACTION,,90.0
PRIME: 60 MINUTES RAW,60 MINUTES,,85.5
PRIME: A&E CRIME 360 RAW,A&E CRIME 360,,90.0
PRIME: ABC CHARLESTON NEWS (WCIV.2) RAW,ABC CHARLESTON NEWS (WCIV.2),,85.5
PRIME: ABC11 NORTH CAROLINA RAW,ABC11 NORTH CAROLINA,,85.5
PRIME: ABC13 HOUSTON RAW,ABC13 HOUSTON,,72.0
PRIME: ABC30 FRESNO RAW,ABC30 FRESNO,,67.5
PRIME: ABC7 BAY AREA RAW,ABC7 BAY AREA,,85.5
PRIME: ABC7 CHICAGO RAW,ABC7 CHICAGO,,85.5
PRIME: ABC7 NEW YORK RAW,ABC7 NEW YORK,,85.5
PRIME: ACCORDING TO JIM RAW,ACCORDING TO JIM,,90.0
PRIME: ACORN TV MYSTERIES RAW,ACORN TV MYSTERIES,,90.0
PRIME: ACTION NEWS JAX (CBS47 / FOX30) RAW,ACTION NEWS JAX (CBS47 / FOX30),,90.0
PRIME: ACTIONMAX EAST RAW,ACTIONMAX EAST,,90.0
PRIME: ADULT ANIMATION RAW,ADULT ANIMATION,,85.5
PRIME: ALF RAW,ALF,,90.0
PRIME: ALFRED HITCHCOCK PRESENTS RAW,ALFRED HITCHCOCK PRESENTS,,67.5
PRIME: ALIEN NATION BY DUST RAW,ALIEN NATION BY DUST,,90.0
PRIME: ALL DAY DRAMA RAW,ALL DAY DRAMA,,85.5
PRIME: ALL REALITY WE TV RAW,ALL REALITY WE TV,,90.0
PRIME: ALL WEDDINGS WE TV RAW,ALL WEDDINGS WE TV,,90.0
PRIME: ALL WOMEN'S SPORTS NETWORK RAW,ALL WOMEN'S SPORTS NETWORK,,85.5
PRIME: ALL-OUT ALASKA RAW,ALL-OUT ALASKA,,85.5
PRIME: ALLBLK GEMS RAW,ALLBLK GEMS,,90.0
PRIME: ALWAYS CHRISTMAS RAW,ALWAYS CHRISTMAS,,85.5
PRIME: ALWAYS FUNNY RAW,ALWAYS FUNNY,,90.0
PRIME: AMAZON LIVE RAW,AMAZON LIVE,,85.5
PRIME: AMC THRILLERS RAW,AMC THRILLERS,,90.0
PRIME: AMERICA'S DUMBEST CRIMINALS RAW,AMERICA'S DUMBEST CRIMINALS,,85.5
PRIME: AMERICA'S TEST KITCHEN RAW,AMERICA'S TEST KITCHEN,,85.5
PRIME: AMERICAN GLADIATORS RAW,AMERICAN GLADIATORS,,90.0
PRIME: AMERICAN NINJA WARRIOR RAW,AMERICAN NINJA WARRIOR,,85.5
PRIME: ANCIENT ALIENS RAW,ANCIENT ALIENS,,90.0
PRIME: ANGER MANAGEMENT RAW,ANGER MANAGEMENT,,90.0
PRIME: ANIMATION FAVORITES RAW,ANIMATION FAVORITES,,85.5
PRIME: ANIME X HIDIVE RAW,ANIME X HIDIVE,,90.0
PRIME: ANTIQUES ROAD TRIP RAW,ANTIQUES ROAD TRIP,,90.0
PRIME: ANTIQUES ROADSHOW UK RAW,ANTIQUES ROADSHOW UK,,90.0
PRIME: AQUI Y AHORA RAW,AQUI Y AHORA,,85.5
PRIME: ARE WE THERE YET? RAW,ARE WE THERE YET?,,90.0
PRIME: ARE YOU SMARTER THAN A 5TH GRADER? RAW,ARE YOU SMARTER THAN A 5TH GRADER?,,85.5
PRIME: AX MEN RAW,AX MEN,,90.0
PRIME: BACHELOR NATION RAW,BACHELOR NATION,,90.0
PRIME: BACKSTAGE RAW,BACKSTAGE,,72.0
PRIME: BAD GIRLS CLUB RAW,BAD GIRLS CLUB,,85.5
PRIME: BARGAIN HUNT RAW,BARGAIN HUNT,,80.0
PRIME: BAYWATCH RAW,BAYWATCH,,90.0
PRIME: BBC COMEDY RAW,BBC COMEDY,,90.0
PRIME: BBC EARTH RAW,BBC EARTH,,90.0
PRIME: BBC FOOD RAW,BBC FOOD,,90.0
PRIME: BBC NEWS RAW,BBC NEWS,,90.0
PRIME: BEACH DAY RAW,BEACH DAY,,85.5
PRIME: BEYOND BELIEF RAW,BEYOND BELIEF,,90.0
PRIME: BIG 12 STUDIOS RAW,BIG 12 STUDIOS,,85.5
PRIME: BLACK LOVE RAW,BLACK LOVE,,85.5
PRIME: BLOOMBERG ORIGINALS RAW,BLOOMBERG ORIGINALS,,90.0
