name,provider_epg_id,source,source_epg_id,score,method,programmes
US: A&E HD,AandE.us,us2,A.and.E.HD.East.us2,96.0,name-relaxed,142
US: ACC NETWORK HD,ACCNetwork.us,us2,ACC.Network.us2,98.0,name-exact,62
US: AMC HD,AMC.us,us2,AMC.HD.us2,98.0,name-exact,65
US: AMERICA HEROES HD,,us2,American.Heroes.Channel.HD.us2,99.0,alias-name,96
US: ANIMAL PLANET HD,animalplanet.us,us2,Animal.Planet.HD.us2,98.0,name-exact,91
US: ANIMAL PLANET WEST HD,animalplanet.us,us2,Animal.Planet.HD.us2,96.0,name-relaxed,91
US: ANTENNA TV,AntennaTV.us,us2,Antenna.TV.us2,98.0,name-exact,185
US: ASPIRE HD,AspireTV.us,us2,ASPiRE.HD.us2,98.0,name-exact,150
US: BBC AMERICA HD,BBCAmerica.us,us2,BBC.America.HD.us2,98.0,name-exact,70
US: BET GOSPEL,BETGospel.us,us2,BET.GOSPEL.us2,98.0,name-exact,106
US: BET HD,BET.us,us2,BET.HD.us2,98.0,name-exact,152
US: BET HER HD,BetHer.us,us2,BET.Her.us2,98.0,name-exact,103
US: BET JAMS HD,BETjams.us,us2,BET.Jams.us2,98.0,name-exact,96
US: BET SOUL,BETSoul.us,us2,BET.Soul.us2,98.0,name-exact,66
US: BLAZE TV,BlazeTV.us,us2,Blaze.TV.us2,98.0,name-exact,62
US: AXS TV HD,AXSTV.us,us2,AXS.TV.us2,98.0,name-exact,162
US: BOUNCE XL,PlutoBounceXL.us,tubi,TUBI:BOUNCE XL,98.0,name-exact,118
US: BOUNCE TV HD,BounceTV.us,us2,Bounce.TV.us2,98.0,name-exact,111
US: BRAVO HD,Bravo.us,us2,Bravo.HD.us2,98.0,name-exact,81
US: BRAVO WEST HD,Bravo.us,us2,Bravo.HD.us2,96.0,name-relaxed,81
US: BRAVO EAST HD,,us2,Bravo.HD.us2,96.0,name-relaxed,81
US: CATCHY COMEDY HD,,us2,Catchy.Comedy.us2,99.0,alias-name,182
US: BYU TV,BrighamYoungUniversity.us,us2,BYU-TV.us2,98.0,name-exact,122
US: BUZZR,BuzzrTV.us,tubi,TUBI:BUZZR,98.0,name-exact,79
US: CHARGE!,ChargeTV.us,us2,CHARGE!.us2,98.0,name-exact,113
US: CMT HD,CMT.us,us2,CMT.HD.us2,98.0,name-exact,139
US: COMEDY CENTRAL HD,ComedyCentral.us,us2,Comedy.Central.HD.us2,98.0,name-exact,180
US: CLEO TV 4K,CleoTV.us,us2,Cleo.TV.HD.us2,98.0,name-exact,192
US: COMEDY TV HD,,us2,Comedy.TV.HD.us2,98.0,name-exact,176
US: COMET HD,Comet.us,us2,Comet.us2,98.0,name-exact,106
US: COOKING CHANNEL HD,CookingChannel.us,us2,Cooking.Channel.HD.us2,98.0,name-exact,157
US: COURT TV HD,CourtTV.us,us2,Court.TV.us2,98.0,name-exact,112
US: CRIME & INVESTIGATION HD,CrimeInvestigation.us,us2,Crime.and.Investigation.Network.HD.us2,96.0,name-relaxed,104
US: DESTINATION AMERICA HD,DestinationAmerica.us,us2,Destination.America.HD.us2,98.0,name-exact,165
US: DISCOVERY HD,DiscoveryChannel.us,us2,Discovery.Channel.HD.us2,96.0,name-relaxed,97
US: DISCOVERY FAMILY HD,DiscoveryFamily.us,us2,Discovery.Family.Channel.HD.us2,96.0,name-relaxed,183
US: DISCOVERY LIFE HD,DiscoveryLife.us,us2,Discovery.Life.Channel.us2,96.0,name-relaxed,74
US: DISCOVERY SCIENCE HD,,us2,Science.Channel.HD.us2,99.0,alias-name,96
US: DISCOVERY WEST HD,DiscoveryChannel.us,us2,Discovery.Channel.HD.us2,96.0,name-relaxed,97
US: DISCOVERY EAST HD,,us2,Discovery.Channel.HD.us2,96.0,name-relaxed,97
US: DOG TV HD,DogTV.us,us2,DOG.TV.us2,98.0,name-exact,96
