name,provider_epg_id
US: BIG BROTHER 1 4K,
US: BIG BROTHER 2 4K,
US: BIG BROTHER 3 4K,
US: BIG BROTHER 4 4K,
US: BIG BROTHER QUAD VIEW 4K,
US: AMC PLUS,AMC.us
US: AWE HD,AWealthofEntertainment.us
US: AXS TV NOW,
US: CHICAGO SPORTS NETWORK 4K,
US: CHEDDAR BUSINESS HD,CheddarBusiness.us
US: CNC 3 TRINIDAD HD,
US: COWBOY CHANNEL,TheCowboyChannel.us
US: COZI,CoziTV.us
US: DAYSTAR HD,Daystar.us
US: DECADES,Decades.us
US: MYTV 9 (WCTX)  WATERBURY HD,
US: E! ENTERTAINMENT WEST HD,EEntertainment.us
US: E! ENTERTAINMENT HD,EEntertainment.us
US: EWTN CATHOLIC,EWTN.us
US: FASHION ONE ᵁᴴᴰ 3840P,
US: FETV,FamilyEntertainment.us
US: FXM HD,
US: FL WMBB ABC 13,
US: GAME TV HD,
US: GET TV,GetTV.us
US: GREAT AMERICAN COUNTRY 4K,
US: GSN HD,GameShowNetwork.us
US: HALLMARK DRAMA HD,HallmarkDrama.us
US: HALLMARK M & M HD,Hallmark.us
US: HALLMARK MOVIES/MYSTERIES 4K,HallmarkMoviesMysteries.us
US: HD NET MOVIES HD,
US: HEROES & ICONS,HeroesAndIconsTV.us
US: HOPE CHANNEL,HopeChannel.us
US: MY 9 WWOR NEW YORK,
US: INFOWARS TV HD,
US: IT| 20THCENTURYFOX 4K,
US: IT| PIRATI DEI CARAIBI CHANNEL 4K,
US: LIFETIME MOVIE NETWORK HD,LifetimeMovieNetwork.us
US: LOCAL NOW HD,
US:  LAFF TV  HD,Laff.us
US: MAV TV HD,MAVTV.us
US: MSG 2 HD,MadisonSquareGarden2.us
US: MSG HD,MadisonSquareGarden.us
US: MTV HD,MTV.us
US: MTV 2 HD,MTV2.us
US: MUSIC CHOICE  MAX,
US:  THE VICTORY CHANNEL HD,
US:  MUSIC CHOICE POP HITS,
US: MUSIC CHOICE TROPICALES HD,
US: MUSIC CHOICE CLASSIC COUNTRY HD,
US: MUSIC CHOICE HIP-HOP AND R&B,
US: MUSIC CHOICE: HIP-HOP CLASSICS,
US: MTV LIVE HD,MTVLive.us
US:  LATIN PASIONES,
US: NBC 4 LITTLE ROCK AR (KARK),KARK.us
US: OUTSIDE TV HD,OutsideTV.us
US: OWN HD,
US: OXYGEN HD,Oxygen.us
US: OXYGEN WEST HD,Oxygen.us
US: JEWELRY tv,
US: PBS HD,
US: QVC 2 HD,QVCPlus.us
US: AFV FAMILY,
US: REELZ FAMUS HD,reelzchannel.us
US: RETRO TV,RetroTV.us
US: RIDE TV HD,
US: RT DOCUMENTARY HD,
US: SUNDANCE HD,SundanceTV.us
US: SPECTRUM BAY NEWS 9 HD,
US: TELEMUNDO 47 NY (WNJU),WNJU.us
US: TELEMUNDO 51 MIAMI (WSCV),WSCV.us
US: TNT SD,TNT.us
US: TRAVEL CHANNEL HD,TravelChannel.us
US: TRAVEL CHANNEL WEST HD,TravelChannel.us
US: TVG NETWORK,
US: TVG NETWORK 2,
US: UP TV HD,UpliftingEntertainment.us
US: VH 1 HD,VH1.us
US: VH 1 4K,VH1.us
US: CIRCLE TV HD,
US: DUS (S),
US: WTRF Wheeling WV 7 HD,
US: WGN9,WGN.us
